iso_ts,monotonic_ns,window_s,group,subgroup,channel,state_idx,state_name,residency_24Mticks
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,0,OFF,1971570
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,1,P1,3075321
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,2,P2,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,3,P3,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,4,P4,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,5,P5,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,6,P6,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,7,P7,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,8,P8,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,9,P9,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,10,P10,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,11,P11,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,12,P12,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,13,P13,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,14,P14,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Performance States,GPUPH,15,P15,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,0,OFF,1971570
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,1,P1,3027469
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,2,P2,47852
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,3,P3,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,4,P4,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,5,P5,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,6,P6,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,7,P7,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,8,P8,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,9,P9,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,10,P10,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,11,P11,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,12,P12,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,13,P13,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,14,P14,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,AFR Performance States,AFRSTATE,15,P15,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Boost Controller Performance States,BSTGPUPH,0,OFF,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Boost Controller Performance States,BSTGPUPH,1,P1,3075321
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Boost Controller Performance States,BSTGPUPH,2,P2,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Boost Controller Performance States,BSTGPUPH,3,P3,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Boost Controller Performance States,BSTGPUPH,4,P4,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Boost Controller Performance States,BSTGPUPH,5,P5,0
2026-04-28T21:46:22.170251,28257175536375,0.225079,GPU Stats,GPU Boost Controller Performance States,BSTGPUPH,6,P6,0
